,name,lat,lng
140,빽다방,37.5014521,127.0901512
141,홍콩반점0410,37.479822,126.8224284
142,빽다방,37.618948849999995,127.02091384168332
143,빽다방,37.6168957,127.0922977
144,백스비어,37.4829672,126.9957546
145,홍콩반점0410,37.5436308,127.0589921
146,롤링파스타,37.567008,127.0071137
147,빽다방,37.4962983,126.8744752
148,인생설렁탕,37.4972748,126.892705
149,빽다방,37.48921,127.14667
150,새마을식당,37.5797042,127.0321978
151,빽다방,37.66727,127.07242
152,빽다방,37.54048,127.05601
153,빽다방,37.5588288,127.0773851
154,홍콩반점0410,37.5789168,126.9112934
155,새마을식당,37.567008,127.0071137
156,한신포차,37.4938746,126.8583738
157,빽다방,37.6136551,127.0301695
158,빽다방,37.61083,127.08109
159,새마을식당,37.5900885,127.0159785
160,인생설렁탕,37.5408823,127.0680155
161,성성식당,37.5053167,127.0203991
162,빽다방,37.55783,127.03571
163,인생설렁탕,37.6059647,127.0476532
164,성성식당,37.5924583,127.018257
165,빽다방,37.54194,127.01152
166,빽다방,37.5199051,126.9926237
167,역전우동0410,37.51702,126.89591
168,빽다방,37.6059647,127.0476532
169,홍콩반점0410,37.54841,127.15158
170,빽다방,37.5761039,126.9739112
171,홍콩반점0410,37.6197194,127.0614772
172,빽다방,37.60002,127.09283
173,빽다방,37.5000907,127.1042372
174,홍콩반점0410,37.596715,126.9176055
175,빽다방,37.661683,127.0423443
176,빽다방,37.5645976,127.0538565
177,빽다방,37.570801,127.0000056
178,빽다방,37.55188315,126.92134441486365
179,홍콩반점0410,37.5589021,127.1699179
180,빽다방,37.5000592,126.9056685
181,빽다방,37.612247,127.0643734
182,빽다방,37.5474684,127.0660841
183,빽다방,37.5226024,126.8517014
184,빽다방,37.52998,127.12875
185,빽다방,37.6352212,127.0090642
186,홍콩반점0410,37.4760161,126.917619
187,리춘시장,37.5917592,127.0173702
188,홍콩반점0410,37.5022469,127.0511782
189,백스비어,37.5601401,126.8356108
190,본가,37.4831573,126.8997762
191,빽다방,37.5096477,126.9455378
192,빽다방,37.6699566,127.0409485
193,빽다방,37.6410017,127.0289955
194,역전우동0410,37.55844,126.93363
195,역전우동0410,37.4771452,126.8825349
196,빽다방,37.60178,127.1054
197,빽다방,37.5555362,127.0771029
198,새마을식당,37.5196865,126.8571227
199,한신포차,37.534826,126.9000655
200,빽다방,37.6019037,127.0142114
201,역전우동0410,37.5352829,127.09379
202,막이오름,37.541906,127.0679944
203,막이오름,37.5189188,127.0232462
204,롤링파스타,37.5600236,127.0402493
205,미정국수0410,37.5773932,126.9867921
206,빽다방,37.54128,127.12434
207,홍콩반점0410,37.65404545,127.05125906206726
208,빽다방,37.5352829,127.09379
209,인생설렁탕,37.5852662,127.0292394
210,역전우동0410,37.4647545,127.0188666
211,새마을식당,37.534826,126.9000655
212,홍콩반점0410,37.5204641,126.8685485
213,새마을식당,37.5416499,127.0674994
214,새마을식당,37.6096307,126.9344732
215,빽다방,37.5710156,127.005044
216,리춘시장,37.4825865,126.9291556
217,빽다방,37.6410264,126.9159825
218,홍콩반점0410,37.5968577,127.08625149276494
219,빽다방,37.6027309,127.038267
220,빽다방,37.5827082,127.0534423
221,빽다방,37.54842325,126.87756261699319
222,롤링파스타,37.6094,126.9162
223,홍콩반점0410,37.500438,126.8666171
224,빽다방,37.6445766,127.0324381
225,빽다방,37.4767949,126.8921251
226,빽다방,37.5023044,127.0500371
227,롤링파스타,37.497966,127.05887684808022
228,빽다방,37.48434,127.12246
229,빽다방,37.6094,126.9162
230,롤링파스타,37.626264,127.061951
231,인생설렁탕,37.5619462,127.0666729
232,한신포차,37.5188361,126.907861
233,빽다방,37.4931629,126.851736
234,빽다방,37.5492217,126.9119938
235,빽다방,37.5572914,126.9593191
236,빽다방,37.53689,126.89638
237,홍콩반점0410,37.5549014,127.0112942
238,빽다방,37.54841,127.15158
239,빽다방,37.65404545,127.05125906206726
240,홍콩반점0410,37.5792236,126.813422
241,빽다방,37.5571168,126.8640008
242,롤링파스타,37.4932036,126.880478
243,빽다방,37.56131,127.02715
244,인생설렁탕,37.56878,126.98563
245,역전우동0410,37.5981845,127.0960056
246,역전우동0410,37.5460169,126.9462944
247,빽다방,37.484665,126.9484961
248,리춘시장,37.5589616,126.9363464
249,빽다방,37.54417,127.09262
