,name,address
121,빽다방,서울특별시 구로구 경인로47길 23
122,빽다방,서울특별시 노원구 공릉동 395-8
123,빽다방,서울특별시 구로구 경인로40길 41
124,홍콩반점0410,서울특별시 광진구 자양로43길 48
125,홍콩반점0410,서울특별시 마포구 월드컵로13길 9
126,롤링파스타,서울특별시 강동구 동남로71길 20-9
127,빽다방,서울특별시 서대문구 연희로 118
128,홍콩반점0410,서울특별시 영등포구 신길로 119
129,빽다방,서울특별시 노원구 중계동 509-1
130,빽다방,서울특별시 성북구 동선동4가 98-2
131,빽다방,서울특별시 강남구 테헤란로1길 48
132,홍콩반점0410,서울특별시 성북구 정릉로38나길 1
133,막이오름,서울특별시 송파구 올림픽로12길 8
134,롤링파스타,서울특별시 송파구 오금로20길 4
135,리춘시장,서울특별시 마포구 동교로 217
136,빽다방,서울특별시 강서구 공항대로 164
137,빽다방,서울특별시 성동구 성수동1가 14-51
138,빽다방,서울특별시 강서구 마곡동 799-1
139,역전우동0410,서울특별시 강남구 헌릉로569길 13
140,빽다방,서울특별시 송파구 삼전동 101-9
141,홍콩반점0410,서울특별시 구로구 서해안로 2108
142,빽다방,서울특별시 강북구 삼양로 169
143,빽다방,서울특별시 중랑구 신내로 211
144,백스비어,서울특별시 서초구 효령로31길 17
145,홍콩반점0410,서울특별시 성동구 아차산로 96
146,롤링파스타,서울특별시 중구 을지로43길 30
147,빽다방,서울특별시 구로구 구일로8길 56
148,인생설렁탕,서울특별시 구로구 가마산로 265
149,빽다방,서울특별시 송파구 거여동 27-5
150,새마을식당,서울특별시 동대문구 왕산로 270
151,빽다방,서울특별시 노원구 상계동 1258
152,빽다방,서울특별시 성동구 성수동2가 339-23
153,빽다방,서울특별시 광진구 면목로 145
154,홍콩반점0410,서울특별시 서대문구 거북골로18길 6
155,새마을식당,서울특별시 중구 을지로43길 30
156,한신포차,서울특별시 구로구 남부순환로97길 12
157,빽다방,서울특별시 강북구 도봉로 190
158,빽다방,서울특별시 중랑구 묵동 174-4
159,새마을식당,서울특별시 성북구 보문로34길 56
160,인생설렁탕,서울특별시 광진구 아차산로 207
161,성성식당,서울특별시 서초구 강남대로83길 33
162,빽다방,서울특별시 성동구 행당동 317-63
163,인생설렁탕,서울특별시 성북구 장월로 140
164,성성식당,서울특별시 성북구 동소문로20나길 13
165,빽다방,서울특별시 성동구 독서당로 296
166,빽다방,서울특별시 용산구 서빙고로 17
167,역전우동0410,서울특별시 영등포구 문래동3가 83-3
168,빽다방,서울특별시 성북구 장월로 140
169,홍콩반점0410,서울특별시 강동구 명일동 337-30
170,빽다방,서울특별시 종로구 사직로 127
171,홍콩반점0410,서울특별시 노원구 석계로13길 23
172,빽다방,서울특별시 중랑구 상봉동 113-4
173,빽다방,서울특별시 송파구 가락로 113
174,홍콩반점0410,서울특별시 은평구 응암로29길 4
175,빽다방,서울특별시 도봉구 도봉로 551
176,빽다방,서울특별시 성동구 용답중앙15길 18
177,빽다방,서울특별시 종로구 종로 334
178,빽다방,서울특별시 마포구 어울마당로 75
179,홍콩반점0410,서울특별시 강동구 상일로17길 29-5
180,빽다방,서울특별시 영등포구 도림로 144
181,빽다방,서울특별시 성북구 한천로78길 63
182,빽다방,서울특별시 성동구 아차산로17길 57
183,빽다방,서울특별시 양천구 중앙로 276
184,빽다방,서울특별시 강동구 성내동 319-27
185,빽다방,서울특별시 강북구 수유동 339-6
186,홍콩반점0410,서울특별시 관악구 난우길 20
187,리춘시장,서울특별시 성북구 동소문로20다길 6
188,홍콩반점0410,서울특별시 강남구 선릉로76길 22
189,백스비어,서울특별시 강서구 마곡중앙6로 85
190,본가,서울특별시 구로구 디지털로32길 97-22
191,빽다방,서울특별시 동작구 만양로 6
192,빽다방,서울특별시 도봉구 도봉로153길 20
193,빽다방,서울특별시 강북구 도봉로 352
194,역전우동0410,서울특별시 서대문구 창천동 18-83
195,역전우동0410,서울특별시 금천구 가산동 233-5
