name,address
빽다방,서울 노원구 동일로 986 104호
빽다방,"서울 종로구 경교장길 35 (평동, 경희궁자이 3단지) 1층 3135호"
빽다방,서울 도봉구 노해로63다길 10
빽다방,서울 송파구 문정동 643-1(법원로 114)
리춘시장,서울 마포구 서교동 397-10 1층
성성식당,서울 강북구 수유동 279-126 1층
홍콩반점0410,서울 은평구 진관3로 22 (진관동) 102호
빽다방,서울 강북구 번동 310-4 1층
백스비어,서울특별시 은평구 연서로29길 14-13 남경빌딩 2층
빽다방,"서울특별시 구로구 디지털로31길 41 (구로동, 이앤씨벤처드림타워6차), 1층 108호"
홍콩반점0410,"서울 송파구 오금로11길 11-8 현대드림밸리 2층 203, 204호"
빽다방,서울특별시 노원구 중계동 606 1층 105호
빽다방,서울특별시 광진구 아차산로36길 5
빽다방,서울특별시 성북구 길음로9길 50 지2층8호 (길음동 1286외2필지 길음뉴타운 상가동 208호)
백스비어,서울 금천구 시흥대로 291
역전우동0410,"서울 구로구 신도림동 337, 푸르지오오피스텔 상가 1층 175호"
빽다방,서울특별시 중구 퇴계로 423 (황학동)
홍콩반점0410,서울 마포구 월드컵북로54길 17 218호
리춘시장,서울 금천구 시흥대로122길 16
빽다방,"서울특별시 금천구 가산디지털1로 171, skv1센터 102호"
빽다방,서울특별시 성북구 돌곶이로 220 코오롱하늘채아파트 상가 104동 106호
빽다방,서울특별시 동작구 상도동 501(사당로 10) 지하1층
빽다방,서울특별시 도봉구 도당로 10 02)
홍콩반점0410,서울 노원구 동일로147길 32 1층
빽다방,"서울특별시 영등포구 선유서로24길 6 (양평동1가, 영등포 중흥 S-CLASS) 1층 106호"
빽다방,서울특별시 용산구 보광로 47 1층 (보광동)
빽다방,"서울특별시 중랑구 봉화산로 39, 1층 101호"
홍콩반점0410,서울시 도봉구 방학로 174 1층
빽다방,"서울특별시 구로구 고척동 76-181, 1층 101호"
빽다방,서울특별시 노원구 공릉동 395-8
빽다방,서울특별시 구로구 경인로40길 41(개봉동 181-6)
홍콩반점0410,"서울 광진구 자양로43길 48 (중곡동, 태광빌딩) 1층"
홍콩반점0410,서울특별시 마포구 월드컵로13길 9 2층
롤링파스타,"서울특별시 강동구 동남로 71길 20-9, 2층 2호(명일동, 파라빌딩)"
빽다방,서울특별시 서대문구 연희동 135-5(연희로 118)
홍콩반점0410,서울 영등포구 신길로 119
빽다방,서울특별시 노원구 중계동 509-1
빽다방,서울특별시 성북구 동선동4가 98-2
빽다방,서울특별시 강남구 테헤란로1길 48
홍콩반점0410,"서울시 성북구 정릉로38나길 1, 102호(정릉동)"
막이오름,"서울 송파구 올림픽로12길 8 (잠실동, 제일빌딩) 202호"
롤링파스타,서울 송파구 오금로20길 4 (송파동) 1층
리춘시장,"서울 마포구 동교로 217 (동교동, 홍대LJ빌딩) 1층"
빽다방,서울특별시 강서구 마곡동 798-2(공항대로 164) 류마타워 105호
빽다방,서울특별시 성동구 성수동1가 14-51
빽다방,"서울특별시 강서구 마곡동 799-1, 로뎀타워1층 127호"
역전우동0410,"서울 강남구 헌릉로569길 13 (세곡동, 라온 프라이빗시티)"
빽다방,서울특별시 송파구 삼전동 101-9 (백제고분로 257)
홍콩반점0410,서울 구로구 서해안로 2108 (항동) 1층
빽다방,서울특별시 강북구 삼양로 169 (미아동)
빽다방,서울특별시 중랑구 신내로 211
백스비어,서울특별시 서초구 효령로31길 17 (방배동) 1층
홍콩반점0410,"서울시 성동구 아차산로 96, 1층"
롤링파스타,"서울특별시 중구 을지로 43길 30, 2층 201호(을지로5가, 미진빌딩)"
빽다방,"서울특별시 구로구 구일로 8길 56, 구일프라자 1층 102호(구로동)"
인생설렁탕,"서울 구로구 가마산로 265(구로동, 한솔로이젠트) 1층"
빽다방,서울특별시 송파구 거여동 27-5 1층
새마을식당,서울 동대문구 왕산로 270 (전농동)
빽다방,"서울특별시 노원구 상계동 1258, 오피앙상가 103호"
빽다방,서울특별시 성동구 성수동2가 339-23
빽다방,서울특별시 광진구 중곡동 192-5(서울 광진구 면목로 145)
홍콩반점0410,서울 서대문구 거북골로18길 6 (북가좌동) 1층
새마을식당,서울 중구 을지로43길 30 1층
한신포차,"서울 구로구 남부순환로 97길 12 (개봉동, 진영빌딩) 2층"
빽다방,서울특별시 강북구 도봉로 190 비전빌딩
빽다방,서울특별시 중랑구 묵동 174-4번지
새마을식당,서울시 성북구 보문로34길 56 (동선동2가)
인생설렁탕,"서울 광진구 아차산로 207 (화양동, 선일빌딩) 1층"
성성식당,서울 서초구 강남대로83길 33 (반포동) 1층
빽다방,서울특별시 성동구 행당동 317-63
인생설렁탕,서울 성북구 장월로 140 (장위동) 2층
성성식당,서울 성북구 동소문로 20나길 13(동선동1가)2층
빽다방,서울특별시 성동구 금호동 4가 567
빽다방,서울 용산구 서빙고로 17(한강로3가) 해링턴스퀘어 판매시설동 1층 9호
역전우동0410,서울 영등포구 문래동3가 83-3 104호
빽다방,서울 성북구 장월로 140
홍콩반점0410,"서울시 강동구 명일동 337-30 , 1층"
빽다방,"서울특별시 종로구 사직로 127 (적선동), 1층~3층"
홍콩반점0410,서울 노원구 석계로13길 23
빽다방,"서울특별시 중랑구 상봉동 113-4, 102호"
빽다방,서울시 송파구 가락로 113 금도빌딩 1층
홍콩반점0410,"서울특별시 은평구 응암로29길 4, 1층(응암동)"
빽다방,서울특별시 도봉구 도봉로 551 02-
빽다방,서울특별시 성동구 용답중앙15길 18
빽다방,서울시 종로구 종로334
빽다방,서울특별시 마포구 어울마당로 75
홍콩반점0410,서울 강동구 상일로17길 29-5 (고덕동) 지층
빽다방,서울시 영등포구 도림로 144
빽다방,서울 성북구 한천로78길 63
빽다방,서울특별시 성동구 성수동2가 281-16(아차산로17길 57)
빽다방,서울시 양천구 중앙로 276 1층
빽다방,서울특별시 강동구 성내동 319-27
빽다방,서울특별시 강북구 수유동 339-6
홍콩반점0410,"서울특별시 관악구 난우길 20, 2층"
리춘시장,서울 성북구 동소문로20다길6 1층
홍콩반점0410,"서울 강남구 선릉로 76길 22, 2층"
백스비어,"서울특별시 강서구 마곡중앙6로 85, 1층 105호"
본가,"서울시 구로구 디지털로 32길 97-22, 1층"
빽다방,서울특별시 동작구 만양로6 이편한세상 상도노빌리티 1층 106호
빽다방,서울특별시 도봉구 도봉로 153길 20
빽다방,서울특별시 강북구 번동 418-3 (도봉로 352)
역전우동0410,서울 서대문구 창천동 18-83 2층
역전우동0410,"서울시 금천구 가산동 233-5, 가산센트럴푸르지오시티 1층"
빽다방,"서울특별시 중랑구 망우동 479, 한일씨너스빌리젠시 1단지"
빽다방,서울특별시 광진구 군자로 108
새마을식당,"서울특별시 양천구 중앙로 36길 15(신정동, 목동힐스테이트)"
한신포차,서울특별시 영등포구 양평로 53 (당산동 5가)
빽다방,서울특별시 성북구 아리랑로 75
역전우동0410,"서울시 광진구 강변역로 4길 10, 지너스타워 107호"
막이오름,서울 광진구 동일로22길 69-3
막이오름,서울 강남구 도산대로13길 10 2층
롤링파스타,"서울시 성동구 마조로5길 8 , 2층"
미정국수0410,"서울특별시 종로구 계동길 15, 1층(계동)"
빽다방,서울특별시 강동구 올림픽로 770
홍콩반점0410,서울특별시 도봉구 마들로11길 73
빽다방,서울특별시 광진구 강변역로4길 10
인생설렁탕,"서울특별시 성북구 고려대로 24길 24, 1층"
역전우동0410,"서울시 서초구 우면동 721, 우면프라자 2차 102호"
새마을식당,"서울시 영등포구 양평로 77, 1층(양평동4가)"
홍콩반점0410,"서울특별시 양천구 목동서로 377, A동 1층"
새마을식당,서울 광진구 동일로22길 69 (화양동)
새마을식당,서울시 은평구 진흥로 17
빽다방,"서울특별시 종로구 종로 289, 1층(창신동)"
리춘시장,서울특별시 관악구 신림로59길 24
빽다방,서울특별시 은평구 통일로 840
홍콩반점0410,서울특별시 중랑구 망우로 305
빽다방,"서울 성북구 오패산로 98 ,1층 빽다방"
빽다방,서울특별시 동대문구 답십리동 243-2 (전농로 97-1)
빽다방,서울특별시 강서구 공항동 45-39(공항대로 23)
롤링파스타,서울시 은평구 연서로 217 2층
홍콩반점0410,"서울 구로구 경인로47길 23, 2층"
빽다방,서울특별시 도봉구 도봉로 479
빽다방,"서울특별시 금천구 가산로 99, 두산위브아파트 상가동"
빽다방,"서울특별시 강남구 선릉로 567, 1층 일부호(역삼동)"
롤링파스타,"서울시 강남구 도곡로 442, 201호(대치동, 진흥빌딩)"
빽다방,"서울시 송파구 문정동 618 파크하비오 204동 117,118호"
빽다방,서울특별시 은평구 연서로 129 (구산동 1-15)
롤링파스타,서울시 노원구 마들도 3길 15 이마트월계점 2층 전문식당가
인생설렁탕,"서울특별시 동대문구 장한로2길 36, 1층 102호"
한신포차,서울특별시 영등포구 영중로10길 35
빽다방,서울시 구로구 개봉동 203-7
빽다방,서울 마포구 월드컵로1길 14 (합정동) B-112-1호
빽다방,서울시 마포구 아현동 618-8 (마포대로 179)
빽다방,서울시 영등포구 양평동4가 114-1
홍콩반점0410,"서울특별시 중구 다산로 128, 지하 1층"
빽다방,서울시 강동구 명일동 346-1
빽다방,"서울 도봉구 마들로11길 57, 102호"
홍콩반점0410,서울 강서구 금낭화로 95
빽다방,"서울특별시 강서구 양천로 583 (염창동,우림블루나인비즈니스센터) 지하1층"
롤링파스타,서울시 구로구 구로동 1124-72 2층
빽다방,서울 성동구 하왕십리동 946-16
인생설렁탕,서울특별시 종로구 관철동 13-13 코아빌딩1
역전우동0410,서울시 중랑구 용마산로 115길 127
역전우동0410,서울 마포구 백범로 129
빽다방,서울시 관악구 봉천동 1686-11
리춘시장,서울특별시 서대문구 연세로9길 10-4(창천동 33-13)
빽다방,서울 광진구 구의동 199-8
새마을식당,서울특별시 서초구 효령로31길 28. 1층
롤링파스타,강남구 신사동 541-9 2층
빽다방,서울특별시 관악구 신림동 1668-15
빽다방,서울 구로구 오류동 148-2
홍콩반점0410,서울시 강북구 삼양로 24길 19 101동 101호
홍콩반점0410,서울시 동대문구 답십리동494-1 / 206-207호
롤링파스타,서울시 마포구 서교동 344-15 2층
빽다방,서울 광진구 아차산로 380 02 444
홍콩반점0410,"서울시 강서구 염창동 282-20, 2층"
한신포차,"서울 중랑구 사가정로 51길 39, 2층"
홍콩반점0410,서울 양천구 목동907-23 현대파크빌 1층
롤링파스타,서울시 서대문구 창전동 18-1
빽다방,서울 송파구 백제고분로48길 6
리춘시장,서울특별시 종로구 혜화동 167-3　
롤링파스타,서울시 종로구 동숭동 1-97 2층
롤링파스타,서울시 노원구 상계로 70 2층
역전우동0410,서울특별시 강서구 마곡동 776-3
빽다방,서울 관악구 난곡로 178
인생설렁탕,"서울시 동대문구 경희대로 9-1, 1층"
한신포차,"서울 강서구 마곡중앙6로 93(마곡동, 열린프라자)"
롤링파스타,서울시 종로구 삼일대로 392 효원빌딩 1층
빽다방,서울 은평구 응암로 169
롤링파스타,서울시 성북구 동선동 1가 104 2층
리춘시장,"서울특별시 영등포구 영중로4길 3, 1층(영등포동3가)"
빽다방,서울시 서초구 마방로2길 94
빽다방,서울시 강서구 화곡로25길2
빽다방,서울특별시 동작구 보라매로 5가길 7
새마을식당,서울특별시 종로구 우정국로2길 42(관철동) 1층
리춘시장,서울 관악구 관악로14길 22(봉천동 1604-1)
빽다방,서울특별시 노원구 노해로79길 6-19
역전우동0410,"서울특별시 강서구 공항대로 269-15(마곡동), 힐스테이트에코마곡 124호"
한신포차,"서울시 동대문구 경희대로1길 10, 1층"
빽다방,서울시 관악구 남부순환로 1729(봉천동 926-36)
역전우동0410,"서울 강서구 마곡중앙5로 6, 마곡나루역보타닉푸르지오시티 1층 114호 (마곡동)"
새마을식당,서울시 강서구 마곡동 797-7 매그넘797 108.109호
한신포차,"서울시 동작구 만양로 106, 2층"
원조쌈밥집,서울 종로구 창신길 9-4
역전우동0410,"서울 송파구 장지동 896, 중앙푸르지오 2단지 113호"
빽다방,서울 동대문구 장한로 140
빽다방,"서울시 서초구 사평대로 367, 1층"
홍콩반점0410,"서울특별시 송파구 위례성대로12길18(방이동,수빌딩)"
새마을식당,서울시 성동구 마조로1길 29 지층
백스비어,"서울특별시 관악구 남현1길 58, 2층(사당역 5번 출구)"
한신포차,서울시 강서구 마곡중앙로 161-8 두산더랜드파크 c219~222호
한신포차,"서울특별시 강서구 강서로 17-1,1층(화곡동)"
역전우동0410,서울특별시 마포구 어울마당로 127-1 1층 (동교동)
백스비어,"서울시 강북구 도봉로8길 2, 2층"
빽다방,"서울특별시 은평구 은평로 56, 1층(신사동, 안건빌딩)"
롤링파스타,"서울특별시 광진구 능동로 127, 2층(화양동)"
역전우동0410,"서울 동작구 보라매로5가길 16, 아카데미타워 1층"
빽다방,서울시 서초구 강남대로 605
홍콩반점0410,서울시 강서구 공항대로 269-15 2층
홍콩반점0410,"서울특별시 중랑구 면목로 337, 2층(면목동)"
홍콩반점0410,서울시 마포구 마포대로 14길 11 1층 102호
빽다방,서울시 관악구 난곡로 363
역전우동0410,"서울특별시 관악구 관악로148, 1층 (봉천동)"
빽다방,서울특별시 영등포구 의사당대로 38
홍콩반점0410,"서울특별시 양천구 중앙로 254, 2층"
홍콩반점0410,"서울특별시 양천구 목동중앙북로7길10, 2층"
역전우동0410,"서울시 동작구 국사봉1길 28, 1층"
새마을식당,서울특별시 강서구 마곡중앙로 165 안강프라이빗타워1차 1층 새마을식당
빽다방,서울특별시 강서구 강서로 395. 플레이스 H 108호
