,name,address,lat,lng
101,백스비어,서울특별시 은평구 연서로29길 14-13,error,error
102,빽다방,서울특별시 구로구 디지털로31길 41,error,error
103,홍콩반점0410,서울특별시 송파구 오금로11길 11-8,error,error
104,빽다방,서울특별시 노원구 중계동 606,error,error
105,빽다방,서울특별시 광진구 아차산로36길 5,37.5378234,127.0741049
106,빽다방,서울특별시 성북구 길음로9길 50,error,error
107,백스비어,서울특별시 금천구 시흥대로 291,37.459206,126.8970978
108,역전우동0410,서울특별시 구로구 신도림동 337,error,error
109,빽다방,서울특별시 중구 퇴계로 423,error,error
110,홍콩반점0410,서울특별시 마포구 월드컵북로54길 17 218,37.5816159,126.8888456
111,리춘시장,서울특별시 금천구 시흥대로122길 16,37.4694183,126.8988695
112,빽다방,서울특별시 금천구 가산디지털1로 171,error,error
113,빽다방,서울특별시 성북구 돌곶이로 220,error,error
114,빽다방,서울특별시 동작구 사당로 10,error,error
115,빽다방,서울특별시 도봉구 도당로 10 02,37.6604785,127.034897
116,홍콩반점0410,서울특별시 노원구 동일로147길 32,error,error
117,빽다방,서울특별시 영등포구 선유서로24길 6,error,error
118,빽다방,서울특별시 용산구 보광로 47,error,error
119,빽다방,서울특별시 중랑구 봉화산로 39,error,error
120,홍콩반점0410,서울특별시 도봉구 방학로 174,error,error
121,빽다방,서울특별시 구로구 고척동 76-181,error,error
122,빽다방,서울특별시 노원구 공릉동 395-8,37.63021,127.08818
123,빽다방,서울특별시 구로구 경인로40길 41,error,error
124,홍콩반점0410,서울특별시 광진구 자양로43길 48,error,error
125,홍콩반점0410,서울특별시 마포구 월드컵로13길 9,error,error
126,롤링파스타,서울특별시 강동구 동남로71길 20-9,error,error
127,빽다방,서울특별시 서대문구 연희로 118,error,error
128,홍콩반점0410,서울특별시 영등포구 신길로 119,37.5095407,126.9107326
129,빽다방,서울특별시 노원구 중계동 509-1,37.64802,127.07678
130,빽다방,서울특별시 성북구 동선동4가 98-2,37.59457,127.0185
131,빽다방,서울특별시 강남구 테헤란로1길 48,37.5001711,127.0274709
132,홍콩반점0410,서울특별시 성북구 정릉로38나길 1,error,error
133,막이오름,서울특별시 송파구 올림픽로12길 8,error,error
134,롤링파스타,서울특별시 송파구 오금로20길 4,error,error
135,리춘시장,서울특별시 마포구 동교로 217,error,error
136,빽다방,서울특별시 강서구 공항대로 164,error,error
137,빽다방,서울특별시 성동구 성수동1가 14-51,37.5435,127.03742
138,빽다방,서울특별시 강서구 마곡동 799-1,error,error
139,역전우동0410,서울특별시 강남구 헌릉로569길 13,error,error
140,빽다방,서울특별시 송파구 삼전동 101-9,error,error
141,홍콩반점0410,서울특별시 구로구 서해안로 2108,error,error
142,빽다방,서울특별시 강북구 삼양로 169,error,error
143,빽다방,서울특별시 중랑구 신내로 211,37.6168957,127.0922977
144,백스비어,서울특별시 서초구 효령로31길 17,error,error
145,홍콩반점0410,서울특별시 성동구 아차산로 96,error,error
146,롤링파스타,서울특별시 중구 을지로43길 30,error,error
147,빽다방,서울특별시 구로구 구일로8길 56,error,error
148,인생설렁탕,서울특별시 구로구 가마산로 265,error,error
149,빽다방,서울특별시 송파구 거여동 27-5,error,error
150,새마을식당,서울특별시 동대문구 왕산로 270,error,error
151,빽다방,서울특별시 노원구 상계동 1258,error,error
152,빽다방,서울특별시 성동구 성수동2가 339-23,37.54048,127.05601
153,빽다방,서울특별시 광진구 면목로 145,error,error
154,홍콩반점0410,서울특별시 서대문구 거북골로18길 6,error,error
155,새마을식당,서울특별시 중구 을지로43길 30,error,error
156,한신포차,서울특별시 구로구 남부순환로97길 12,error,error
157,빽다방,서울특별시 강북구 도봉로 190,error,error
158,빽다방,서울특별시 중랑구 묵동 174-4,error,error
159,새마을식당,서울특별시 성북구 보문로34길 56,error,error
160,인생설렁탕,서울특별시 광진구 아차산로 207,error,error
161,성성식당,서울특별시 서초구 강남대로83길 33,error,error
162,빽다방,서울특별시 성동구 행당동 317-63,37.55783,127.03571
163,인생설렁탕,서울특별시 성북구 장월로 140,error,error
164,성성식당,서울특별시 성북구 동소문로20나길 13,error,error
165,빽다방,서울특별시 성동구 금호동 4가 567,error,error
166,빽다방,서울특별시 용산구 서빙고로 17,error,error
167,역전우동0410,서울특별시 영등포구 문래동3가 83-3,error,error
168,빽다방,서울특별시 성북구 장월로 140,37.6059647,127.0476532
169,홍콩반점0410,서울특별시 강동구 명일동 337-30,error,error
170,빽다방,서울특별시 종로구 사직로 127,error,error
171,홍콩반점0410,서울특별시 노원구 석계로13길 23,37.6209028,127.0617671
172,빽다방,서울특별시 중랑구 상봉동 113-4,error,error
173,빽다방,서울특별시 송파구 가락로 113,error,error
174,홍콩반점0410,서울특별시 은평구 응암로29길 4,error,error
175,빽다방,서울특별시 도봉구 도봉로 551,error,error
176,빽다방,서울특별시 성동구 용답중앙15길 18,37.5650138,127.0543382
177,빽다방,서울특별시 종로구 종로 334,error,error
178,빽다방,서울특별시 마포구 어울마당로 75,37.55188315,126.9213444
179,홍콩반점0410,서울특별시 강동구 상일로17길 29-5,error,error
